Date|Squat|Bench|Barbell Rows|Overhead Press|Deadlift|Notes
01/01/2021|110,5,5,5,5,5|85,5,5,5,5,5|80,5,5,5,5,5|||
01/03/2021|115,5,5,5,5,5|||90,5,5,5,5,5|130,5|
01/05/2021|115,5,5,5,5,5|90,5,5,5,5,5|90,5,5,5,5,5|||
01/07/2021|120,5,5,5,5,5|||95,5,5,5,5,5|140,5|
01/09/2021|125,5,5,5,5,5|95,5,5,5,5,5|95,5,5,5,5,5|||
01/11/2021|130,5,5,5,5,5|||100,5,5,5,5,5|150,5|
01/13/2021|135,5,5,5,5,5|100,5,5,5,5,5|100,5,5,5,5,5|||
01/15/2021|140,5,5,5,5,5|||105,5,5,5,5,5|170,5|
01/17/2021|145,5,5,5,5,5|105,5,5,5,5,5|105,5,5,5,5,5|||
01/19/2021|150,5,4,0,0,0|||110,5,4,0,0,0|180,5|
01/22/2021|150,5,5,5,5,5|110,5,5,5,5,5|110,5,5,5,5,5|||
01/24/2021|155,5,2,0,0,0|||110,5,4,3,0,0|190,5|
01/26/2021|140,5,5,5,5,5|115,5,5,5,5,5|115,5,5,5,5,5|||
01/28/2021|140,5,5,5,5,5|||110,5,5,3,1,2|200,5|
01/30/2021|140,5,5,5,5,5|120,5,5,5,5,5|120,5,5,5,5,5|||Check form videos for BB rows
02/01/2021|120,5,5,5,5,5|||100,5,5,5,5,5|210,5|Deload, left knee pain
02/03/2021|120,5,5,5,5,5|125,5,5,5,5,5|125,5,5,5,5,5|||
02/05/2021|125,5,5,5,5,5|||105,5,5,5,5,5|220,5|
02/07/2021|130,5,5,5,5,5|130,5,5,5,5,5|130,5,5,5,5,5|||BB rows form starting to slip, stay here or deload
02/09/2021|135,5,5,5,5,5|||110,5,5,5,5,5|225,5|
02/11/2021|140,5,5,5,5,5|135,5,5,5,5,5|115,5,5,5,5,5|||
02/13/2021|145,5,5,5,5,5|||115,3,3,3,2,2|225,5|
02/15/2021|150,5,5,5,5,5|140,5,5,5,5,5|100,5,5,5,5,5|||BB rows felt good
02/17/2021|155,5,5,5,5,5|||115,5,5,5,5,5|225,5|
02/21/2021|155,5,5,5,5,5|145,5,5,5,5,5|100,5,5,5,5,5|||
02/23/2021|155,5,5,5,5,5|||115,4,3,1,1,1|225,4|
02/25/2021|160,5,5,5,5,5|150,5,4,5,5,4|105,5,5,5,5,5|||
02/27/2021|165,5,5,5,5,5|||105,5,5,5,5,5|225,5|
03/03/2021|170,5,5,5,5,5|150,5,5,4,3,2|105,5,5,5,5,5|||
03/05/2021|175,5,5,5,2,3|||110,2,5,3,1,1|225,5|
03/07/2021|175,5,5,5,5,1|150,5,5,5,3,1|110,5,5,5,5,5|||
03/10/2021|175,5,5,5,5,5|||110,5,3,2,3,2|225,5|
03/12/2021|180,2,4,0,1,1|150,5,5,2,4,3|115,5,5,5,5,5|||
03/15/2021|180,4,3,3,3,1|||110,5,4,2,3,1|225,5|
03/17/2021|180,4,3,3,0,1|135,5,5,5,5,5|115,5,5,5,5,5|||Deload bench
03/19/2021|160,5,5,5,5,5|||100,5,5,5,5,5|225,5|Deload squat, Deload OH Press
03/24/2021|150,5,5,5,5,5|135,5,5,5,5,5|100,5,5,5,5,5|||Deload after vacation
03/27/2021|155,5,5,5,5,5|||105,5,5,5,5,5|225,5|
03/29/2021|160,5,5,5,5,5|150,5,5,5,5,5|105,5,5,5,5,5|||
03/31/2021|165,5,5,5,5,5|||110,5,5,4,3,3|235,5|
04/02/2021|170,5,5,5,5,5|145,5,5,5,5,5|105,5,5,5,5,5|||
04/06/2021|170,5,5,5,5,5|||110,5,5,5,5,5|235,3|Mentally exhausted
04/08/2021|175,5,5,5,5,5|150,5,5,5,5,5|110,5,5,5,5,5|||
04/10/2021|175,5,5,2,3,0|||110,0,0,0,0,0|235,0|Tweaked something in back on squat
04/13/2021|150,5,5,5,5,5|150,5,5,5,5,5|110,5,5,5,5,5|||
04/21/2021|120,5,5,5,5,5|||80,5,5,5,5,5|120,5|Deload, took time off from back injury on 04/10/2021
04/23/2021|120,5,5,5,5,5|120,5,5,5,5,5|80,5,5,5,5,5|||
04/26/2021|120,5,5,5,5,5|||80,5,5,5,5,5|80,5|
04/28/2021|125,5,5,5,5,5|130,5,5,5,5,5|80,5,5,5,5,5|||
04/30/2021|130,5,5,5,5,5|||85,5,5,5,5,5|130,10|
05/02/2021|130,5,5,5,5,5|140,5,5,5,5,5|90,5,5,5,5,5|||
05/06/2021|130,5,5,5,5,5|||90,5,5,5,5,5|140,10|
05/08/2021|135,5,5,5,5,5|150,5,5,5,5,5|90,5,5,5,5,5|||
05/11/2021|140,5,5,5,5,5|||95,5,5,5,5,5|150,10|
05/13/2021|145,5,5,5,5,5|155,5,5,5,5,5|90,5,5,5,5,5|||
05/28/2021|120,5,5,5,5,5|120,5,5,5,5,5|80,5,5,5,5,2|||Deload, 2 weeks off after vaccination
05/30/2021|120,5,5,5,5,5|||80,5,5,5,5,5|120,10|
06/02/2021|125,5,5,5,5,5|125,5,5,5,5,5|90*,5,5,5,5,5|||Switch to Jug rows
06/04/2021|130,5,5,5,5,5|||85,5,5,5,5,5|130,5|
06/06/2021|135,5,5,5,5,5|130,5,5,5,5,5|90*,5,5,5,5,5|||
06/08/2021|140,5,5,5,5,5|||90,5,5,5,5,5|140,5|
06/10/2021|145,5,5,5,5,5|135,5,5,5,5,5|90*,5,5,5,5,5|||
06/14/2021|150,5,5,5,5,5|||95,5,5,5,5,5|150,5|
06/16/2021|155,5,5,5,5,5|140,5,5,5,5,5|90*,5,5,5,5,5|||
06/18/2021|160,5,5,5,5,5|||100,5,5,5,5,5|160,5|
06/21/2021|160,5,5,5,5,5|145,5,5,5,5,5|90*,5,5,5,5,5|||
06/23/2021|160,5,5,5,5,5|||105,5,5,5,5,5|170,5|
06/25/2021|160,5,5,5,5,5|150,5,5,5,5,5|90*,5,5,5,5,5|||
06/27/2021|165,5,5,5,5,5|||105,5,5,5,5,5|180,5|
06/29/2021|165,5,5,5,5,5|150,5,5,5,5,5|90*,5,5,5,5,5|||
07/01/2021|165,5,5,5,5,5|||105,5,5,5,5,5|190,5|
07/08/2021|150,5,5,5,5,5|150,5,5,5,5,5|90*,5,5,5,5,5|||Deload, Mariana's birthday
07/10/2021|150,5,5,5,5,5|||105,5,5,5,5,5|200,5|
07/12/2021|155,5,5,5,5,5|155,5,5,5,5,5|90*,5,5,5,5,5|||
07/15/2021|155,5,5,5,5,5|||105,5,5,5,5,5|210,5|
07/17/2021|160,5,5,5,5,5|160,5,5,5,5,5|90*,5,5,5,5,5|||
07/20/2021|160,5,5,5,5,5|||105,5,5,5,5,5|220,5|
07/22/2021|165,5,5,5,5,5|160,5,5,5,5,5|90*,5,5,5,5,5|||
07/24/2021|165,5,5,5,5,5|||105,5,5,5,5,5|230,5|
07/26/2021|165,5,5,5,5,5|160,5,5,5,5,5|90*,5,5,5,5,5|||
07/28/2021|165,5,5,5,5,5|||105,5,5,5,5,5|240,5|
07/31/2021|165,5,5,5,5,5|165,5,5,4,3,3|90*,5,5,5,5,5|||
08/02/2021|165,5,5,5,5,5|||105,5,5,5,5,5|250,5|
08/04/2021|170,5,5,5,5,5|165,5,5,2,5,5|90*,5,5,5,5,5|||
08/06/2021|170,5,5,5,5,5|||110,5,5,5,5,5|240,5|Deload, no gas for 260
08/08/2021|170,5,5,5,5,5|165,5,5,5,5,5|90*,5,5,5,5,5|||
08/11/2021|170,5,5,5,5,5|||105,5,5,5,5,5|240,5|Deload OH press, sore from yesterday rings exercise
08/17/2021|150,5,5,5,5,5|140,5,5,5,5,5|90*,5,5,5,5,5|||Deload, vacation Pau's bday
08/19/2021|155,5,5,5,5,5|||110,5,5,5,5,5|190,7|
08/21/2021|160,5,5,5,5,5|145,5,5,5,5,12|90*,5,5,5,5,5|||
08/25/2021|160,5,5,5,5,5|||100,5,5,5,5,5|150,7|
08/27/2021|160,5,5,5,5,5|145,5,5,5,5,5|90*,5,5,5,5,5|||
08/30/2021|165,5,5,5,5,5|||105,5,5,5,5,5|160,7|
